slug,name,country,category,tags,founded,funding_stage,modality,form_factor,interface_depth,indication,target_user,regulatory_stage,description,analyst_note,website,profile_url,logo_url,related_slugs
3brain,3Brain,Switzerland,Tools and Infrastructure,Data Infrastructure; OEM,2011,Non-dilutive,MEA,,,Research,,Research only,Developing high-resolution microelectrode array (MEA) platforms that capture brain cell electrophysiology in vitro for neuroscience research and drug discovery.,"3Brain sits in the ex vivo electrophysiology tools segment, differentiated by its bidirectional CMOS-MEA arrays at 4,096-electrode density, a specification tier above most competing platforms in the organoid and brain-slice research market. With no disclosed clinical or in vivo pathway, its microchip-based technology is best understood as research infrastructure rather than translational technology.",https://www.3brain.com/,https://www.neurofounders.co/startups/3brain,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/697b5b8f2498cad5f9c553a1_3brain_logo.jpeg,cortical-labs; maxwell-biosystems; cambridge-neurotech; open-neurotech; the-biological-computing-co
ability-neurotech,ABILITY Neurotech,Switzerland,Brain-Computer Interface,Assistive Technology; Experimental,2025,Non-dilutive,ECoG,,,Communication,,Investigational,"Developing implantable neural interface (BCI) to restore autonomy in paralysis by capturing, transmitting, analyzing, and stimulating brain activity.","ABILITY Neurotech is differentiated by its fully implantable, battery-free ECoG architecture with 50 Mbps lossless data transmission, a throughput substantially above current competitors in the implantable BCI space. As a 2025 Wyss Center spin-off entering first clinical trials in the Netherlands and Austria, it sits at the earliest stage of clinical translation in a field dominated by longer-established players like Blackrock Neurotech and Synchron.",https://abilityneuro.com/,https://www.neurofounders.co/startups/ability-neurotech,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc502640ea365f96d9cc0_1736657349000.jpeg,neuroxess; corticale; paradromics; axoft; precision-neuroscience
affectable-sleep,Affectable Sleep,Australia,Consumer Neurotech,Closed-loop; Wellness,2020,Non-dilutive,Light/sound,,,Sleep,,Non-medical,Developing an EEG sleep headband using precisely timed auditory neurostimulation to enhance slow-wave sleep and restorative sleep function.,"Affectable Sleep sits in closed-loop sleep neurotechnology, combining EEG monitoring with timed auditory stimulation in a consumer headband. Its current stage appears pre-commercial, with grant-supported user testing and early manufacturing work.",https://www.affectablesleep.com,https://www.neurofounders.co/startups/affectable-sleep,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a41e91e6291ea31207702c6_affectable_logo.jpeg,elemind; somnee; nextsense; sond; earable-neuroscience
aleph-neuro,Aleph Neuro,United States,Tools and Infrastructure,Experimental; Data Infrastructure,2026,Unknown,Ultrasound,,,Research,,Research only,"Building non-invasive, ultrasound-based brain imaging technology intended to serve as a hardware foundation for future brain-computer interfaces.","Non-invasive ultrasound imaging at MRI-like resolution would remove one of the two hardware bottlenecks that have kept BCI confined to invasive implants or blurry scalp sensing. The claims are unverified outside the company's own announcement, and the ""telepathic future"" framing runs well ahead of any demonstrated decoding capability.",https://alephneuro.com,https://www.neurofounders.co/startups/aleph-neuro,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a71fc53af7d0b752d7f6185_aleph_neuro_logo.jpeg,forest-neurotech; merge-labs; gestala; openwater; nudge
aleva-neurotherapeutics,Aleva Neurotherapeutics,Switzerland,Neuromodulation,Therapeutics; Experimental,2013,Series C+,DBS,,,Parkinson's,,CE-Marked,Implantable MEMS‑based directional deep brain stimulation (DBS) system improving precision and outcomes in Parkinson’s and essential tremor.,"Aleva Neurotherapeutics is positioned in the DBS hardware segment with a MEMS-based directional lead design that offers finer current steering than conventional cylindrical electrodes, targeting improved side-effect profiles in Parkinson's and essential tremor. With CE marking and Series C+ funding, it sits further along the commercialization curve than most neuromodulation startups but faces entrenched competition from Medtronic, Abbott, and Boston Scientific.",https://aleva-neuro.com,https://www.neurofounders.co/startups/aleva-neurotherapeutics,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc58284ac058cb440394c_aleva_neurotherapeutics_sa_logo.jpeg,newronika; encora-therapeutics; inbrain-neuroelectronics; cala-health; charco-neurotech
alljoined,Alljoined,USA,Tools and Infrastructure,Data Infrastructure; Machine Learning,2023,Seed,EEG,,,Research,,Research only,"Building foundation models for brain data that decode visual perception from non-invasive EEG signals, reconstructing seen images from neural recordings.","Alljoined is best understood as a research-infrastructure company building open-source EEG-to-image foundation models, sitting in the same data-platform layer as Karavela AI and Nubrain but differentiated by its focus on visual decoding and multi-subject generalization. Its open-release strategy prioritizes ecosystem building over proprietary moat, making its near-term monetization path less clear than product-oriented BCI companies.",https://www.alljoined.com/,https://www.neurofounders.co/startups/alljoined,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69d3905a4867cb48db7c1b71_alljoined_logo.jpeg,karavela-ai; nimbus; arctop; netholabs
alto-neuroscience,Alto Neuroscience,USA,Diagnostics and Assessment,Decision Support; Therapeutics,2019,Public,Biomarkers,,,Psychiatry,,Investigational,Developing precision psychiatric medicines by leveraging neurobiology to predict and improve treatment response.,"Alto Neuroscience is best understood as a precision psychiatry drug company rather than a neurotech device company, using EEG-derived neural phenotyping to match patients to proprietary compounds across depression, PTSD, and schizophrenia. Its 2024 IPO and four active Phase 2 trials position it as one of the few publicly traded companies attempting to close the loop between brain biomarkers and psychiatric drug selection.",https://altoneuroscience.com,https://www.neurofounders.co/startups/alto-neuroscience,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc5a93181d457e8604cac_altoneuroscience_logo.jpeg,graymatters-health; thymia
altoida,Altoida,USA,Diagnostics and Assessment,Diagnostics; Monitoring,2016,Series A,Biomarkers,,,Dementia/impairment,,Investigational,Providing a digital multimodal NeuroMarker platform to objectively assess and monitor cognitive function and detect early signs of neurodegenerative decline.,"Altoida is differentiated by its AR-based multimodal cognitive assessment capturing 600+ biomarkers in a 10-minute session, giving it a broader signal surface than most digital cognitive screening tools. The platform sits in the investigational segment for MCI and Alzheimer's detection, with validation across 42,000+ tests but no regulatory clearance for diagnostic use.",https://altoida.com/,https://www.neurofounders.co/startups/altoida,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6951047f1640a9016b1b4b9a_altoida_logo.jpeg,neurowyzr; winterlight-labs; braintrip; retispec; kneu-health
amber-therapeutics,Amber Therapeutics,UK,Neuromodulation,Therapeutics; Closed-loop,2021,Series A,Nerve stimulator,,,Women's health,,Investigational,"Developing an adaptive, implantable neuromodulation device for women’s mixed urinary incontinence.","Amber Therapeutics occupies a distinctive niche as the only implantable neuromodulation company specifically targeting mixed urinary incontinence via pudendal nerve stimulation, a condition underserved by existing sacral neuromodulation devices. Its landmark $100M Series A in 2024 signals significant investor conviction, though the company remains pre-approval and faces the clinical and regulatory burden typical of novel implantable indications.",https://www.amber-tx.com,https://www.neurofounders.co/startups/amber-therapeutics,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc5d8f06d3b006184e300_amber_therapeutics_logo.jpeg,neuraura; samphire-neuroscience; synergia-medical; neuronoff
ampa-health,Ampa Health,USA,Neuromodulation,Therapeutics; Clinical Workflows,2022,Seed,TMS,,,Psychiatry,,FDA cleared (510k),Developing a portable transcranial magnetic stimulation system to expand access to clinically validated neuromodulation treatments for mental health disorders.,"Ampa Health is positioned around expanding TMS access by miniaturizing the delivery system into a portable form factor, addressing the key bottleneck of clinic-bound infrastructure that limits current TMS adoption. With FDA clearance and seed-stage funding, it sits at an early commercial stage in a TMS market otherwise dominated by large-footprint systems from BrainsWay and Magstim.",https://www.ampahealth.com/,https://www.neurofounders.co/startups/ampa-health,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6951031d00e0dda9e897cdc7_1699481520930.jpeg,nexstim; magnus-medical; brainsway; neurosigma; sooma-medical
