slug,name,tag
3brain,3Brain,Data Infrastructure
3brain,3Brain,OEM
ability-neurotech,ABILITY Neurotech,Assistive Technology
ability-neurotech,ABILITY Neurotech,Experimental
affectable-sleep,Affectable Sleep,Closed-loop
affectable-sleep,Affectable Sleep,Wellness
aleph-neuro,Aleph Neuro,Experimental
aleph-neuro,Aleph Neuro,Data Infrastructure
aleva-neurotherapeutics,Aleva Neurotherapeutics,Therapeutics
aleva-neurotherapeutics,Aleva Neurotherapeutics,Experimental
alljoined,Alljoined,Data Infrastructure
alljoined,Alljoined,Machine Learning
altoida,Altoida,Diagnostics
altoida,Altoida,Monitoring
alto-neuroscience,Alto Neuroscience,Decision Support
alto-neuroscience,Alto Neuroscience,Therapeutics
amber-therapeutics,Amber Therapeutics,Therapeutics
amber-therapeutics,Amber Therapeutics,Closed-loop
ampa-health,Ampa Health,Therapeutics
ampa-health,Ampa Health,Clinical Workflows
anthriq,Anthriq,Data Infrastructure
anthriq,Anthriq,OEM
anuevo,ANUEVO,Therapeutics
anuevo,ANUEVO,Assistive Technology
aora,Aora,Monitoring
aora,Aora,Wellness
apollo-neuro,Apollo Neuro,Monitoring
apollo-neuro,Apollo Neuro,Wellness
arctop,Arctop,Data Infrastructure
arctop,Arctop,Decision Support
artiria-medical,Artiria Medical,Clinical Workflows
artiria-medical,Artiria Medical,Decision Support
atlas,Atlas,Monitoring
atlas,Atlas,Wellness
attune-neurosciences,Attune Neurosciences,Therapeutics
attune-neurosciences,Attune Neurosciences,Closed-loop
audicin,Audicin,Wellness
audicin,Audicin,Experimental
aural-analytics,Aural Analytics,Diagnostics
aural-analytics,Aural Analytics,Monitoring
aurenar,Aurenar,Therapeutics
aurenar,Aurenar,Clinical Workflows
awear,AWEAR,Monitoring
awear,AWEAR,Machine Learning
axoft,Axoft,Rehabilitation
axoft,Axoft,OEM
axorus,Axorus,Assistive Technology
axorus,Axorus,Experimental
beacon-biosignals,Beacon Biosignals,Data Infrastructure
beacon-biosignals,Beacon Biosignals,Decision Support
bia-neuroscience,Bía Neuroscience,Monitoring
bia-neuroscience,Bía Neuroscience,Closed-loop
biological-input-output-systems,Biological Input Output Systems,Assistive Technology
biological-input-output-systems,Biological Input Output Systems,Experimental
bioness-medical,Bioness Medical,Assistive Technology
bioness-medical,Bioness Medical,Clinical Workflows
bioserenity,BioSerenity,Diagnostics
bioserenity,BioSerenity,Machine Learning
bios-health,BIOS Health,Decision Support
bios-health,BIOS Health,Closed-loop
bitbrain,Bitbrain,Machine Learning
bitbrain,Bitbrain,Data Infrastructure
blackrock-neurotech,Blackrock Neurotech,OEM
blackrock-neurotech,Blackrock Neurotech,Rehabilitation
bottneuro,Bottneuro,Monitoring
bottneuro,Bottneuro,Therapeutics
brainbit,BrainBit,OEM
brainbit,BrainBit,Monitoring
braincapture,BrainCapture,Diagnostics
braincapture,BrainCapture,Clinical Workflows
braincheck,BrainCheck,Diagnostics
braincheck,BrainCheck,Clinical Workflows
brainco,BrainCo,Assistive Technology
brainco,BrainCo,Wellness
brainkey,BrainKey,Monitoring
brainkey,BrainKey,Aging
brainomix,Brainomix,Decision Support
brainomix,Brainomix,Clinical Workflows
brainpatch,BrainPatch,Wellness
brainpatch,BrainPatch,Therapeutics
brainphonics,Brainphonics,Diagnostics
brainphonics,Brainphonics,Decision Support
brain-q,BRAIN.Q,Therapeutics
brain-q,BRAIN.Q,Closed-loop
brainquant,Brainquant,Diagnostics
brainquant,Brainquant,Aging
brainscan,BrainScan,Decision Support
brainscan,BrainScan,Clinical Workflows
brainscope,BrainScope,Diagnostics
brainscope,BrainScope,Decision Support
brainsightai,BrainSightAI,Decision Support
brainsightai,BrainSightAI,Clinical Workflows
brainsway,BrainsWay,Therapeutics
brainsway,BrainsWay,Clinical Workflows
braintrip,BrainTrip,Data Infrastructure
braintrip,BrainTrip,Machine Learning
brnlit-ai,BRNLIT AI,Wellness
brnlit-ai,BRNLIT AI,Monitoring
cadence-neuroscience,Cadence Neuroscience,Therapeutics
cadence-neuroscience,Cadence Neuroscience,Closed-loop
cahira-technologies,Cahira Technologies,Experimental
cahira-technologies,Cahira Technologies,Therapeutics
cala-health,Cala Health,Monitoring
cala-health,Cala Health,Therapeutics
cambridge-cognition,Cambridge Cognition,Diagnostics
cambridge-cognition,Cambridge Cognition,Monitoring
cambridge-neurotech,Cambridge NeuroTech,Data Infrastructure
cambridge-neurotech,Cambridge NeuroTech,OEM
capri-medical,Capri Medical,Experimental
capri-medical,Capri Medical,Closed-loop
carthera,Carthera,Therapeutics
carthera,Carthera,Experimental
cefaly,Cefaly,Monitoring
cefaly,Cefaly,Experimental
cerca-magnetics,Cerca Magnetics,Diagnostics
cerca-magnetics,Cerca Magnetics,Monitoring
cercare-medical,Cercare Medical,Decision Support
cercare-medical,Cercare Medical,Clinical Workflows
cerebriu,Cerebriu,Decision Support
cerebriu,Cerebriu,Clinical Workflows
ceregate,CereGate,Closed-loop
ceregate,CereGate,Therapeutics
cerevia-neurosciences,Cerevia Neurosciences,Therapeutics
cerevia-neurosciences,Cerevia Neurosciences,Closed-loop
ceribell,Ceribell,Diagnostics
ceribell,Ceribell,Monitoring
charco-neurotech,Charco Neurotech,Therapeutics
charco-neurotech,Charco Neurotech,Experimental
cionic,Cionic,Therapeutics
cionic,Cionic,Closed-loop
clarity,Clarity,Aging
clarity,Clarity,Therapeutics
clee-medical,Clee Medical,OEM
clee-medical,Clee Medical,Clinical Workflows
coapt,Coapt,Machine Learning
coapt,Coapt,Assistive Technology
