company_slug,announced_on,date_precision,marker,indication,source_url,note
paradromics,2023-05-18,day,BDD,Speech restoration,https://www.prnewswire.com/news-releases/paradromics-raises-33-million-in-funding-achieves-breakthrough-medical-device-designation-from-fda-301827969.html,FDA Breakthrough Device Designation for Connexus Direct Data Interface.
newronika,2025-02-05,day,IDE,Parkinson's disease,https://www.prnewswire.com/news-releases/newronika-receives-investigational-device-exemption-ide-from-fda-to-initiate-us-clinical-trial-of-adaptive-dbs-system-302368037.html,FDA IDE for the adaptive DBS pivotal study.
cortec,2026-04-08,day,BDD,Stroke motor rehabilitation,https://www.globenewswire.com/news-release/2026/04/23/3279854/0/en/CorTec-s-Brain-Interchange-Accepted-into-FDA-Total-Product-Life-Cycle-Advisory-Program-TAP.html,FDA Breakthrough Device Designation for Brain Interchange.
cortec,2026-04-23,day,TAP,Stroke motor rehabilitation,https://www.globenewswire.com/news-release/2026/04/23/3279854/0/en/CorTec-s-Brain-Interchange-Accepted-into-FDA-Total-Product-Life-Cycle-Advisory-Program-TAP.html,Accepted into the FDA Total Product Life Cycle Advisory Program.
nia-therapeutics,2026-03-13,day,BDD,Memory loss after traumatic brain injury,https://www.businesswire.com/news/home/20260313678930/en/Nia-Therapeutics-Receives-FDA-Breakthrough-Device-Designation-for-AI-Guided-Brain-Implant-to-Treat-Memory-Loss,
motif-neurotech,2026-04-27,day,IDE,Treatment-resistant depression,https://www.businesswire.com/news/home/20260427361988/en/Motif-Neurotech-Receives-FDA-Approval-to-Begin-First-Clinical-Trial-of-its-Therapeutic-BCI-for-Treatment-Resistant-Depression,IDE approval to begin the first-in-patient DOT trial.
synchron,2026-06-06,day,Pivotal,Paralysis,https://www.techtimes.com/articles/317929/20260606/synchron-brain-implant-targets-2026-pivotal-trial-first-fda-approved-bci.htm,Pivotal-trial initiation toward a first PMA filing.
neuracle-technology,2026-03-13,day,NMPA,Hand-motor augmentation after spinal cord injury,https://www.bloomberg.com/news/articles/2026-03-13/china-approves-first-brain-implant-for-commercial-use,NMPA registration for an implantable BCI.
science-corporation,2026-07-22,day,CE,Vision restoration,https://science.xyz/news/ce-mark/,CE mark and European commercial launch for PRIMA.
neuralink,2024-09-17,day,BDD,Cortical vision prosthesis,https://www.ny1.com/nyc/all-boroughs/health/2024/09/18/fda-breakthrough-devices-neuralink-blindsight-elon-musk,FDA Breakthrough Device Designation for Blindsight.
inbrain-neuroelectronics,2024-03-01,month,TAP,Parkinson's and neurological disorders,https://inbrain-neuroelectronics.com/,Accepted into FDA TAP (company timeline January 2024; digest files it under March).
cortec,2024-05-24,day,IDE,Stroke motor rehabilitation,https://www.medicaldevice-network.com/news/fda-cortec-implant-study,FDA IDE for University of Washington early-feasibility study of Brain Interchange.
paradromics,2024-07-01,day,TAP,Speech restoration,https://www.paradromics.com/news/paradromics-accepted-to-fda-regulatory-accelerator-program-and-announces-new-patient-registry,Accepted into FDA TAP for Connexus.
paradromics,2025-11-20,day,IDE,Speech and computer control,https://www.paradromics.com/news/paradromics-receives-fda-approval-for-the-connect-one-clinical-study-with-the-connexus-brain-computer-interface,FDA IDE for the Connect-One Early Feasibility Study.
newronika,2025-03-24,day,CE,Parkinson's disease,https://www.prnewswire.com/news-releases/newronika-receives-ce-mark-approval-for-alphadbs-advancing-adaptive-deep-brain-stimulation-for-parkinsons-disease-302408082.html,CE Mark for AlphaDBS.
