slug,name,hq,modality,interface_depth,indication,website,scope
blackrock-neurotech,Blackrock Neurotech,"Salt Lake City, USA",Utah Array,Intracortical,Motor and sensory restoration,https://blackrockneurotech.com,Implanted
synchron,Synchron,"Brooklyn, USA",Stentrode,Endovascular,Paralysis,https://synchron.com,Implanted
neuralink,Neuralink,"Fremont, USA",Flexible Threads,Intracortical,Paralysis and vision,https://neuralink.com,Implanted
science-corporation,Science Corporation,"Alameda, USA",Photovoltaic Retinal Implant,Intraocular,Vision restoration,https://science.xyz,Implanted
precision-neuroscience,Precision Neuroscience,"New York, USA",Layer 7 Cortical Interface,Cortical Surface,Paralysis and neurological disorders,https://precisionneuro.io,Minimally invasive
paradromics,Paradromics,"Austin, USA",Connexus Direct Data Interface,Intracortical,Speech restoration,https://paradromics.com,Implanted
inbrain-neuroelectronics,INBRAIN Neuroelectronics,"Barcelona, Spain",Graphene BCI,Intracortical,Parkinson's and neurological disorders,https://inbrain-neuroelectronics.com,Implanted
neurosoft-bioelectronics,Neurosoft Bioelectronics,"Geneva, Switzerland",Soft Neural Interface,Intracortical,Neurological disorders,https://neurosoft-bio.com,Implanted
axoft,Axoft,"Cambridge, USA",Soft Polymer Electrodes,Intracortical,Neurological disorders,https://axoft.us,Implanted
cortec,CorTec,"Freiburg, Germany",Brain Interchange,Intracortical,Neurostimulation,https://cortec-neuro.com,Implanted
neurobionics,NeuroBionics,"Boston, USA",Bioelectronic Fibers,Intracortical,Neural recording and stimulation,https://neurobionics.io,Implanted
nia-therapeutics,Nia Therapeutics,"Philadelphia, USA",Closed-loop Brain Stimulation,Intracortical,Memory loss after brain injury,https://niatherapeutics.com,Implanted
echo-neurotech,Echo Neurotech,"Fremont, USA",Microneedle Neural Interface,Intracortical,Neurological disorders,https://echoneurotech.com,Implanted
coherence-neuro,Coherence Neuro,"Burlington, USA",High-channel Neural Interface,Intracortical,Neurodegenerative conditions,https://coherenceneuro.com,Implanted
merge-labs,Merge Labs,"San Francisco, USA",Focused Ultrasound and Molecular Interfaces,Transcranial,General-purpose BCI,https://merge.xyz,Implant-adjacent
newronika,Newronika,"Milan, Italy",Adaptive Deep Brain Stimulation,Deep Brain,Parkinson's disease,https://newronika.com,Implanted
neuracle-technology,Neuracle Technology,"Changzhou, China",Implantable BCI,Cortical Surface,Neurological disorders,https://www.neuracle.cn,Implanted
neuroxess,NeuroXess,"Shanghai, China",High-throughput Flexible BCI,Cortical Surface,Motor and speech restoration,https://neuroxess.com,Implanted
neucyber-neurotech,NeuCyber NeuroTech,"Beijing, China",Flexible Neural Interface,Intracortical,Motor restoration,https://www.neucyber.cn,Implanted
stairmed,StairMed,"Shanghai, China",Ultra-flexible Neural Interface,Intracortical,Motor restoration,https://www.stairmed.com,Implanted
gestala,Gestala,"Beijing, China",Ultrasonic Phased-array BCI,Transcranial,Brain imaging and therapy,https://gestala.com,Implant-adjacent
forest-neurotech,Forest Neurotech,"Los Angeles, USA",Focused Ultrasound,Transcranial,Neuropsychiatric and neurological disorders,https://forestneurotech.org,Implant-adjacent
subsense,SubSense,"Palo Alto, USA",Nanoparticle BCI,Transcranial,Motor and cognitive restoration,https://subsense.com,Implant-adjacent
motif-neurotech,Motif Neurotech,"Houston, USA",Miniaturized Deep Brain Stimulation,Deep Brain,Treatment-resistant depression,https://motifneuro.tech,Implanted
enspire-dbs,Enspire DBS,"Cleveland, USA",Deep Brain Stimulation,Deep Brain,Stroke rehabilitation,https://enspiredbs.com,Implanted
