company_slug,announced_on,date_precision,stage,amount_usd_m,amount_native_m,currency,display_amount,investors,source_url,note
blackrock-neurotech,2024-04-29,day,Strategic investment,200,,USD,$200m,Tether,https://blackrockneurotech.com/insights/tether-invested-200m-in-blackrock-neurotech-accelerating-development-and-commercialization-of-implantable-bci-technology/,Majority-stake strategic investment.
synchron,2025-11-06,day,Series D,200,,USD,$200m,ARCH Venture Partners;Khosla Ventures;Bezos Expeditions;New Enterprise Associates;Qatar Investment Authority;re.Mind Capital,https://www.businesswire.com/news/home/20251106150841/en/Synchron-Raises-%24200-Million-Series-D-to-Advance-Brain-Computer-Interface-Technology,
neuralink,2025-06-02,day,Series E,650,,USD,$650m,ARK Invest;DFJ Growth;Founders Fund;G42;Human Capital;Lightspeed Venture Partners;Sequoia Capital;Thrive Capital;Valor Equity Partners,https://neuralink.com/updates/neuralink-raises-650m-series-e/,
science-corporation,2025-04-14,day,Financing,104,,USD,$104m,Khosla Ventures;New Enterprise Associates,https://www.axios.com/pro/health-tech-deals/2025/04/14/science-corp-bci-100m-fundraise,Rounded from the publicly reported $103.6m financing.
science-corporation,2026-03-05,day,Series C,230,,USD,$230m,Founders Fund;Khosla Ventures;New Enterprise Associates,https://www.businesswire.com/news/home/20260305896789/en/Science-Corporation-Closes-%24230-Million-Series-C-to-Accelerate-Commercialization-of-Its-PRIMA-BCI-Retinal-Implant-the-Worlds-Most-Advanced-Vision-Restoration-Technology,
precision-neuroscience,2024-12-16,day,Series C,102,,USD,$102m,General Equity Holdings;B Capital;Duquesne Family Office;Steadview Capital,https://www.globenewswire.com/news-release/2024/12/16/2997688/0/en/Precision-Neuroscience-Raises-102-Million-to-Advance-AI-Powered-Brain-Implant.html,
paradromics,2023-05-18,day,Series A,33,,USD,$33m,Prime Movers Lab;Westcott Investment Group;Dolby Family Ventures;Green Sands Equity,https://www.prnewswire.com/news-releases/paradromics-raises-33-million-in-funding-achieves-breakthrough-medical-device-designation-from-fda-301827969.html,
inbrain-neuroelectronics,2024-10-29,day,Series B,50,,USD,$50m,imec.xpand;EIC Fund;Fond ICO Next Tech;CDTI-Innvierte;Avançsa,https://www.businesswire.com/news/home/20241029660063/en/INBRAIN-Neuroelectronics-Raises-%2450M-Series-B-to-Advance-Graphene-Based-Brain-Computer-Interface-Technology,
neurosoft-bioelectronics,2026-05-20,day,Seed,7.5,,USD,$7.5m,Skybound Venture Capital;Protocol Labs;IAG Capital Partners;Connecticut Innovations,https://tech.eu/2026/05/20/neurosoft-bioelectronics-raises-75m-for-scalable-brain-computer-interfaces/,
axoft,2026-04-29,day,Venture round,55,,USD,$55m,,https://www.bloomberg.com/news/articles/2026-04-29/us-brain-implant-company-axoft-tests-on-patient-in-china-raises-more-money,
cortec,2019-11-07,day,Venture round,14.4,13,EUR,€13m (~$14.4m),Strüngmann Group,https://cortec-neuro.com/struengmann_group_invests_in_further_expansion_of_cortec/,USD value is an approximate announcement-date conversion; the source amount is €13m.
neurobionics,2025-01-21,day,Seed,5,,USD,$5m,Dolby Family Ventures;Future Ventures;GreyMatter Capital;Focalpoint Partners;Lionheart Ventures;Jumpspace Ventures,https://neurobionics.io/press/neurobionics-seed-press-release/,First close; a later second close took the seed total to $10m.
nia-therapeutics,2024-05-03,day,Series A,8.5,,USD,$8.5m,,https://pci.upenn.edu/nia-therapeutics-raises-8-5-million/,
echo-neurotech,2025-01-30,day,Series A,50,,USD,~$50m,Andreessen Horowitz;Lerer Hippeau;Greycroft;Correlation Ventures;ENIAC Ventures,https://www.bloomberg.com/news/articles/2025-01-30/andreessen-horowitz-backs-rival-to-musk-s-neuralink-in-new-funding-round,Amount was reported as approximately $50m.
coherence-neuro,2025-11-04,day,Seed,10,,USD,$10m,SV Health Investors;BrightEdge;Innovation Endeavors;Astellas Venture Management,https://www.linkedin.com/posts/elise-jenkins-_coherence-neuro-has-raised-a-10m-seed-round-activity-7391232963549487105-N1eH/,Company announcement.
merge-labs,2026-01-15,day,Seed,252,,USD,$252m,OpenAI,https://openai.com/index/investing-in-merge-labs/,
newronika,2025-02-13,day,Series B,14.1,13.6,EUR,€13.6m ($14.1m),Fondazione ENEA Tech e Biomedical;Indaco Venture Partners;Innogest;Wille Finance;TNBT Capital;F3F,https://www.massdevice.com/newronika-closes-14m-series-b/,
neuracle-technology,2024-03-03,day,Venture round,8.5,60,CNY,RMB 60m (~$8.5m),WI Harper Group;Yipu Capital;Prosperico,https://wiharper.com/brain-computer-interface-company-neuracle-raises-rmb-60-million/,USD value is an approximate announcement-date conversion; the source amount is RMB 60m.
neuroxess,2022-01-12,day,Pre-Series A,15.2,97,CNY,RMB 97m ($15.2m),Shanda Group;Sequoia Capital China,https://www.yicaiglobal.com/news/chinese-bci-startup-neuroxess-bags-usd152-million-as-of-pre-series-a-round,
neucyber-neurotech,2026-03-20,day,Government backing,29,200,CNY,RMB 200m ($29m),Beijing municipal government,https://www.reuters.com/business/healthcare-pharmaceuticals/beijing-backed-brain-chip-firm-says-it-is-3-years-behind-musks-neuralink-2026-03-20/,State funding rather than a priced equity round.
stairmed,2025-02-12,day,Series B,48,350,CNY,RMB 350m ($48m),Qiming Venture Partners;OrbiMed;Lilly Asia Ventures;FountainBridge Capital,https://www.chinadaily.com.cn/a/202502/12/WS67abf242a310a2ab06eaba81.html,
stairmed,2026-04-02,day,Strategic round,73,500,CNY,RMB 500m (~$73m),Alibaba;Tencent;FountainBridge Capital;OrbiMed;Oriza Seed;Qiming Venture Partners;Lilly Asia Ventures;Source Code Capital,https://www.prnewswire.com/news-releases/stairmed-secures-rmb-500-million-financing-led-by-alibaba-joined-by-tencent-302732525.html,
gestala,2026-03-11,day,Angel,21.6,150,CNY,RMB 150m ($21.6m),Guosheng Capital;Dalton Venture,https://techcrunch.com/2026/03/11/bci-startup-gestala-raises-21-million-for-non-invasive-ultrasound-brain-tech/,
